,datetime,open,high,low,close,volume,volumeCcy
88,2022-02-25 16:45:00,2705.24,2727.13,2705.24,2725.12,8956.452363,24322462.759837
89,2022-02-25 16:30:00,2709.81,2716.76,2702.35,2705.22,7771.999222,21066665.029403
90,2022-02-25 16:15:00,2728.3,2728.53,2707.67,2709.8,9908.856931,26953615.808347
91,2022-02-25 16:00:00,2732.47,2744.85,2721.07,2728.3,13442.33639,36719307.494159
92,2022-02-25 15:45:00,2709.55,2741.13,2707.08,2731.84,15713.330254,42853128.46996
93,2022-02-25 15:30:00,2709.61,2712.07,2695.53,2709.45,9032.924153,24418669.213551
94,2022-02-25 15:15:00,2680.84,2712.42,2678.46,2710,15110.02616,40737028.118274
95,2022-02-25 15:00:00,2681.35,2686.88,2655.99,2682.9,19817.352365,52970311.446919
96,2022-02-25 14:45:00,2689.54,2703.6,2679.4,2681.28,12385.07138,33381302.839967
97,2022-02-25 14:30:00,2695.38,2715,2682,2689.53,19310.466505,52126964.601358
98,2022-02-25 14:15:00,2700.42,2701.46,2687.81,2695.72,14231.781793,38325846.671956
99,2022-02-25 14:00:00,2710.85,2711.99,2692.04,2701.79,8779.06165,23689658.230583
100,2022-02-25 13:45:00,2721.63,2724.49,2701.65,2711.32,8712.937004,23623656.4734
101,2022-02-25 13:30:00,2713.59,2731.7,2709.01,2722.23,12352.06907,33648455.670062
102,2022-02-25 13:15:00,2712.41,2722.22,2706.58,2713.35,8166.714904,22160981.334118
103,2022-02-25 13:00:00,2707.57,2717.99,2702.58,2713.1,10165.259221,27558646.472378
104,2022-02-25 12:45:00,2684.88,2713.38,2677.41,2706.77,22861.603122,61690458.788755
105,2022-02-25 12:30:00,2669.6,2684.59,2666.81,2684.59,7325.941218,19613984.658984
106,2022-02-25 12:15:00,2676.18,2685.62,2663.95,2669.64,8928.877176,23852333.165173
107,2022-02-25 12:00:00,2633.13,2691.98,2633.13,2676.24,17855.589899,47609425.190266
108,2022-02-25 11:45:00,2631.93,2639.92,2624.29,2632.92,9371.720053,24669660.050806
109,2022-02-25 11:30:00,2620.82,2639.3,2616.81,2631.92,11668.122528,30671683.753345
110,2022-02-25 11:15:00,2606.34,2625.1,2602.98,2622.1,9990.372232,26120749.99902
111,2022-02-25 11:00:00,2617.85,2617.89,2599.81,2606.33,6750.946732,17587164.71362
112,2022-02-25 10:45:00,2612.31,2617.83,2607.18,2617.83,5516.722571,14418390.605224
113,2022-02-25 10:30:00,2620.01,2624.55,2611.13,2614.01,6022.577413,15756304.824939
114,2022-02-25 10:15:00,2616.49,2620.19,2608,2620.19,6929.384808,18114152.54665
115,2022-02-25 10:00:00,2617.83,2625.8,2608.06,2616.91,9186.852825,24043398.270437
116,2022-02-25 09:45:00,2592,2624.6,2588.67,2617.82,10038.286587,26136995.661233
117,2022-02-25 09:30:00,2573.15,2594.19,2572.7,2592.49,10698.742483,27658035.598536
